N;S_wide;err_wide;S_narrow;err_narrow
22600;0.9476931641;0.0031759782;0.9365044248;0.0080127611
23100;0.9322307853;0.0122864006;0.9429653680;0.0015518179
23600;0.9450245712;0.0005073853;0.9482521186;0.0037349327
24100;0.9536568215;0.0091396356;0.9406639004;0.0038532855
24600;0.9105610260;0.0339561599;0.9465447154;0.0020275295
25100;0.9555581435;0.0110409576;0.9499003984;0.0053832125
25600;0.9577822999;0.0132651140;0.9456542969;0.0011371110
26100;0.9319840674;0.0125331185;0.9452107280;0.0006935421
26600;0.9502839655;0.0057667796;0.9481203008;0.0036031149
27100;0.9162485324;0.0282686535;0.9445110701;0.0000061158
27600;0.9630550616;0.0185378757;0.9464221014;0.0019049155
28100;0.9497246689;0.0052074830;0.9451957295;0.0006785436
28600;0.9412795266;0.0032376593;0.9445367133;0.0000195274
29100;0.9518338603;0.0073166744;0.9417096220;0.0028075639
29600;0.9452806513;0.0007634654;0.9402871622;0.0042300237
30100;0.9328082604;0.0117089255;0.9526993355;0.0081821496
30600;0.9124828256;0.0320343603;0.9442810458;0.0002361401
31100;0.9487679300;0.0042507441;0.9495176849;0.0050004990
31600;0.9491389057;0.0046217198;0.9395965190;0.0049206669
32100;0.9304174970;0.0140996889;0.9411604361;0.0033567498
32600;0.9227082406;0.0218089453;0.9434432515;0.0010739344
33100;0.9325613794;0.0119558065;0.9432401813;0.0012770046
33600;0.9322833943;0.0122337916;0.9410714286;0.0034457573
34100;0.9531114515;0.0085942656;0.9417521994;0.0027649865
34600;0.9531065075;0.0085893216;0.9429190751;0.0015981108
35100;0.9655659812;0.0210487953;0.9447293447;0.0002121588
35600;0.9506391927;0.0061220068;0.9472612360;0.0027440501
36100;0.9528231858;0.0083059999;0.9445983380;0.0000811521
36600;0.9557444034;0.0112272175;0.9484631148;0.0039459289
37100;0.9431258033;0.0013913826;0.9435309973;0.0009861886
37600;0.9458397160;0.0013225301;0.9423204787;0.0021967072
38100;0.9150545810;0.0294626049;0.9446194226;0.0001022367
38600;0.9848070359;0.0402898500;0.9437500000;0.0007671859
39100;0.9585379567;0.0140207708;0.9463235294;0.0018063435
39600;0.9194292715;0.0250879144;0.9500631313;0.0055459454
40100;0.9467566310;0.0022394451;0.9504364090;0.0059192231
40600;0.9149823026;0.0295348833;0.9436576355;0.0008595504
41100;0.9480856669;0.0035684810;0.9422141119;0.0023030740
41600;0.9282770195;0.0162401663;0.9457632212;0.0012460353
42100;0.9417308889;0.0027862970;0.9465558195;0.0020386336
42600;0.9461966120;0.0016794261;0.9454225352;0.0009053493
43100;0.9580025847;0.0134853988;0.9465487239;0.0020315380
43600;0.9430025907;0.0015145952;0.9442087156;0.0003084703
44100;0.9735363351;0.0290191492;0.9440192744;0.0004979115
44600;0.9432215757;0.0012956102;0.9442825112;0.0002346747
45100;0.9582016479;0.0136844620;0.9430986696;0.0014185163
45600;0.9430045467;0.0015126392;0.9500822368;0.0055650509
46100;0.9490154403;0.0044982544;0.9475596529;0.0030424670
46600;0.9315308377;0.0129863482;0.9444742489;0.0000429370
47100;0.9517785327;0.0072613468;0.9444002123;0.0001169736
47600;0.9513804470;0.0068632611;0.9418329832;0.0026842027
48100;0.9390653565;0.0054518294;0.9389812890;0.0055358969
48600;0.9406066514;0.0039105345;0.9441100823;0.0004071036
49100;0.9215238439;0.0229933420;0.9432281059;0.0012890800
49600;0.9753497684;0.0308325825;0.9448084677;0.0002912818
50100;0.9396124210;0.0049047649;0.9452844311;0.0007672452
50600;0.9547291217;0.0102119358;0.9413784585;0.0031387274
