Size,ArrayType,Algorithm,TimeUs,Comparisons
700,Prefixed,LCP_MergeSort,948.183,24073
700,Prefixed,MSD_Radix,372.967,4900
700,Prefixed,MSD_Hybrid,374.2,4900
800,Random,Std_QuickSort,591.733,10935
800,Random,Std_MergeSort,815.558,8790
800,Random,Ternary_QS,299.209,7400
800,Random,LCP_MergeSort,842.667,6099
800,Random,MSD_Radix,300.575,1704
800,Random,MSD_Hybrid,176.875,2918
800,Reversed,Std_QuickSort,463.658,10229
800,Reversed,Std_MergeSort,654.758,6164
800,Reversed,Ternary_QS,220.508,6292
800,Reversed,LCP_MergeSort,650.533,2974
800,Reversed,MSD_Radix,370.741,1933
800,Reversed,MSD_Hybrid,214.175,3768
800,NearlySorted,Std_QuickSort,460.45,10026
800,NearlySorted,Std_MergeSort,742.058,8540
800,NearlySorted,Ternary_QS,232.65,6538
800,NearlySorted,LCP_MergeSort,677.842,3318
800,NearlySorted,MSD_Radix,393.175,1945
800,NearlySorted,MSD_Hybrid,211.267,3799
800,Prefixed,Std_QuickSort,3582.62,261660
800,Prefixed,Std_MergeSort,2987.64,189810
800,Prefixed,Ternary_QS,509.216,28422
800,Prefixed,LCP_MergeSort,1125.58,27678
800,Prefixed,MSD_Radix,430.108,5600
800,Prefixed,MSD_Hybrid,430.384,5600
900,Random,Std_QuickSort,678.908,12118
900,Random,Std_MergeSort,975.708,10191
900,Random,Ternary_QS,325.333,8442
900,Random,LCP_MergeSort,984.058,6991
900,Random,MSD_Radix,339.717,1938
900,Random,MSD_Hybrid,204.6,3368
900,Reversed,Std_QuickSort,527.45,11491
900,Reversed,Std_MergeSort,749.392,6976
900,Reversed,Ternary_QS,261.292,7084
900,Reversed,LCP_MergeSort,748.642,3286
900,Reversed,MSD_Radix,390.983,2164
900,Reversed,MSD_Hybrid,217.908,4204
900,NearlySorted,Std_QuickSort,500.225,11504
900,NearlySorted,Std_MergeSort,839.05,9751
900,NearlySorted,Ternary_QS,265.075,7410
900,NearlySorted,LCP_MergeSort,752.417,3638
900,NearlySorted,MSD_Radix,425.133,2175
900,NearlySorted,MSD_Hybrid,228.35,4257
900,Prefixed,Std_QuickSort,3531.12,251612
900,Prefixed,Std_MergeSort,3376.72,217510
900,Prefixed,Ternary_QS,589.292,32819
