n pattern algo avg_time_micro
30900 random merge 4443.8
30900 random hybrid 3921.4
31000 random merge 4454.8
31000 random hybrid 3945.8
31100 random merge 4468.4
31100 random hybrid 3966.4
31200 random merge 4495
31200 random hybrid 3983.4
31300 random merge 4503.8
31300 random hybrid 4004.6
31400 random merge 4529.4
31400 random hybrid 4026
31500 random merge 4524.6
31500 random hybrid 4039.4
31600 random merge 4546.6
31600 random hybrid 4067.2
31700 random merge 4568.6
31700 random hybrid 4085.8
31800 random merge 4576.4
31800 random hybrid 4099
31900 random merge 4596.6
31900 random hybrid 4112.4
32000 random merge 4608
32000 random hybrid 4136
32100 random merge 4624.8
32100 random hybrid 4153
32200 random merge 4630.8
32200 random hybrid 4166.8
32300 random merge 4644.6
32300 random hybrid 4183
32400 random merge 4664
32400 random hybrid 4210.4
32500 random merge 4678.4
32500 random hybrid 4231
32600 random merge 4688.8
32600 random hybrid 4249
32700 random merge 4726
32700 random hybrid 4268.2
32800 random merge 4735.2
32800 random hybrid 4275.8
32900 random merge 4745.6
32900 random hybrid 4317
33000 random merge 4766.6
33000 random hybrid 4322.2
33100 random merge 4776.8
33100 random hybrid 4321.2
33200 random merge 4806.6
33200 random hybrid 4342.6
33300 random merge 4812.4
33300 random hybrid 4350.2
33400 random merge 4824.2
33400 random hybrid 4361.8
33500 random merge 4839.8
33500 random hybrid 4389.4
33600 random merge 4874.8
33600 random hybrid 4398.4
33700 random merge 4879.6
33700 random hybrid 4411.4
33800 random merge 4897.2
33800 random hybrid 4425.6
33900 random merge 4913.2
33900 random hybrid 4435.4
34000 random merge 4932.6
34000 random hybrid 4452.4
34100 random merge 4945.4
34100 random hybrid 4471.6
34200 random merge 4971.2
34200 random hybrid 4489.4
34300 random merge 4986.8
34300 random hybrid 4504.2
34400 random merge 4998.8
34400 random hybrid 4521.8
34500 random merge 5018.8
34500 random hybrid 4537.8
34600 random merge 5040.4
34600 random hybrid 4543.6
34700 random merge 5059.2
34700 random hybrid 4558.4
34800 random merge 5080.8
34800 random hybrid 4579.6
34900 random merge 5097.6
34900 random hybrid 4584.4
35000 random merge 5125
35000 random hybrid 4588.6
35100 random merge 5124
35100 random hybrid 4608.6
35200 random merge 5148
35200 random hybrid 4620
35300 random merge 5151.8
35300 random hybrid 4635.2
35400 random merge 5164.8
35400 random hybrid 4646.6
35500 random merge 5184.2
35500 random hybrid 4662
35600 random merge 5207.8
35600 random hybrid 4674.8
35700 random merge 5201
35700 random hybrid 4682.2
35800 random merge 5225.2
35800 random hybrid 4702.4
35900 random merge 5233.4
35900 random hybrid 4711.8
36000 random merge 5248.4
36000 random hybrid 4716.2
36100 random merge 5268
36100 random hybrid 4742.2
36200 random merge 5281.4
36200 random hybrid 4754.2
36300 random merge 5295.4
36300 random hybrid 4761.8
36400 random merge 5311.4
36400 random hybrid 4784.2
36500 random merge 5333
36500 random hybrid 4795.8
36600 random merge 5339.4
36600 random hybrid 4803.8
36700 random merge 5351.4
36700 random hybrid 4822.6
36800 random merge 5374
36800 random hybrid 4828.2
36900 random merge 5381.8
36900 random hybrid 4851
37000 random merge 5394.2
37000 random hybrid 4869.8
37100 random merge 5416.2
37100 random hybrid 4872.8
37200 random merge 5441
37200 random hybrid 4892.4
37300 random merge 5465.4
37300 random hybrid 4923.2
37400 random merge 5492.6
37400 random hybrid 4938.6
37500 random merge 5603.8
37500 random hybrid 4868.6
37600 random merge 5569
37600 random hybrid 4918.2
37700 random merge 5574.4
37700 random hybrid 5008.4
37800 random merge 5661.4
37800 random hybrid 5005.8
37900 random merge 5604.4
37900 random hybrid 4996.8
38000 random merge 5641.6
38000 random hybrid 5034.4
38100 random merge 5623.8
38100 random hybrid 5069.8
38200 random merge 5593.8
38200 random hybrid 5045.8
38300 random merge 5639.4
38300 random hybrid 5099.4
38400 random merge 5735.6
38400 random hybrid 5087.8
38500 random merge 5661.8
38500 random hybrid 5100.6
38600 random merge 5705.4
38600 random hybrid 5112.6
38700 random merge 5686.8
38700 random hybrid 5155
38800 random merge 5688.2
38800 random hybrid 5102.8
38900 random merge 5778.6
38900 random hybrid 5171.6
39000 random merge 5737.6
39000 random hybrid 5189.4
39100 random merge 5783.8
39100 random hybrid 5135.6
39200 random merge 5781.8
39200 random hybrid 5221.6
39300 random merge 5821
39300 random hybrid 5231.8
39400 random merge 5825.4
39400 random hybrid 5189.2
39500 random merge 5849.4
39500 random hybrid 5262.2
39600 random merge 5846
39600 random hybrid 5201.4
39700 random merge 5911.2
39700 random hybrid 5252
39800 random merge 5859.8
39800 random hybrid 5284.8
39900 random merge 5887.6
39900 random hybrid 5278.4
40000 random merge 5875.2
40000 random hybrid 7925.4
40100 random merge 5944
40100 random hybrid 5366.2
40200 random merge 6007
40200 random hybrid 5370.6
40300 random merge 5908.4
40300 random hybrid 5337.2
40400 random merge 6083.6
40400 random hybrid 5465.6
40500 random merge 6063.2
40500 random hybrid 5395.6
40600 random merge 6011.8
40600 random hybrid 5373
40700 random merge 6093.8
40700 random hybrid 5408.4
40800 random merge 6119.4
40800 random hybrid 5504.2
40900 random merge 6088.4
40900 random hybrid 5410
41000 random merge 6093.2
41000 random hybrid 5497
41100 random merge 6048.6
41100 random hybrid 5459.8
41200 random merge 6182.4
41200 random hybrid 5502.8
41300 random merge 6132
41300 random hybrid 5465.4
41400 random merge 6124
41400 random hybrid 5459.2
41500 random merge 6175.8
41500 random hybrid 5461
41600 random merge 6133
41600 random hybrid 5487.8
41700 random merge 6168.8
41700 random hybrid 5531.8
41800 random merge 6199.4
