n pattern algo avg_time_micro
18100 random merge 2464.2
18100 random hybrid 2123.8
18200 random merge 2471
18200 random hybrid 2218
18300 random merge 2501.8
18300 random hybrid 2241.6
18400 random merge 2531.2
18400 random hybrid 2262
18500 random merge 2549.2
18500 random hybrid 2265.4
18600 random merge 2543.4
18600 random hybrid 2246.6
18700 random merge 2573.2
18700 random hybrid 2321.8
18800 random merge 2626.2
18800 random hybrid 2342
18900 random merge 2636
18900 random hybrid 2262.4
19000 random merge 2556
19000 random hybrid 2326
19100 random merge 2637.6
19100 random hybrid 2281.6
19200 random merge 2581.6
19200 random hybrid 2334.8
19300 random merge 2600.2
19300 random hybrid 2386.8
19400 random merge 2614.8
19400 random hybrid 2390.4
19500 random merge 2677.6
19500 random hybrid 2368.6
19600 random merge 2650.4
19600 random hybrid 2369.2
19700 random merge 2682
19700 random hybrid 2434.2
19800 random merge 2654.2
19800 random hybrid 2407
19900 random merge 2691.8
19900 random hybrid 2471.4
20000 random merge 2662.2
20000 random hybrid 2481.6
20100 random merge 2724
20100 random hybrid 2530.2
20200 random merge 2779.4
20200 random hybrid 2472
20300 random merge 2770
20300 random hybrid 2476.2
20400 random merge 2811.2
20400 random hybrid 2547
20500 random merge 2811.8
20500 random hybrid 2535
20600 random merge 2774.6
20600 random hybrid 2561
20700 random merge 2832.2
20700 random hybrid 2547
20800 random merge 2850.6
20800 random hybrid 2547.4
20900 random merge 2847.4
20900 random hybrid 2613.4
21000 random merge 2941.6
21000 random hybrid 2624.6
21100 random merge 2905.8
21100 random hybrid 2655.6
21200 random merge 2861
21200 random hybrid 2615.2
21300 random merge 2905
21300 random hybrid 2623
21400 random merge 2980.4
21400 random hybrid 2731.2
21500 random merge 3038.6
21500 random hybrid 2733.6
21600 random merge 2936.2
21600 random hybrid 2646.4
21700 random merge 2963.4
21700 random hybrid 2694.6
21800 random merge 2984.6
21800 random hybrid 2737.6
21900 random merge 3124.4
21900 random hybrid 2750.2
22000 random merge 3146
22000 random hybrid 2732.4
22100 random merge 3015
22100 random hybrid 2745.6
22200 random merge 3040
22200 random hybrid 2831.2
22300 random merge 3103
22300 random hybrid 2800.6
22400 random merge 3127.2
22400 random hybrid 2814.2
22500 random merge 3090.4
22500 random hybrid 2879.6
22600 random merge 3147.2
22600 random hybrid 2903
22700 random merge 3206
22700 random hybrid 2840.6
22800 random merge 3153.6
22800 random hybrid 2912.2
22900 random merge 3237.2
22900 random hybrid 2953.8
23000 random merge 3260.8
23000 random hybrid 2930.8
23100 random merge 3236
23100 random hybrid 3020.6
23200 random merge 3292.2
23200 random hybrid 3021.2
23300 random merge 3304.8
23300 random hybrid 3024
23400 random merge 3323.8
23400 random hybrid 3038.4
23500 random merge 3344
23500 random hybrid 3058.2
23600 random merge 3359.8
23600 random hybrid 3057.6
23700 random merge 3378
23700 random hybrid 3088.2
23800 random merge 3391.8
23800 random hybrid 3096.8
23900 random merge 3401.8
23900 random hybrid 3113.6
24000 random merge 3416.4
24000 random hybrid 3126.4
24100 random merge 3421.6
24100 random hybrid 3158.2
24200 random merge 3441.8
24200 random hybrid 3155.8
24300 random merge 3452.2
24300 random hybrid 3176.4
24400 random merge 3464
24400 random hybrid 3212.4
24500 random merge 3474.6
24500 random hybrid 3224.8
24600 random merge 3494.4
24600 random hybrid 3231
24700 random merge 3510
24700 random hybrid 3244
24800 random merge 3524.4
24800 random hybrid 3260.4
24900 random merge 3545.2
24900 random hybrid 3274.6
25000 random merge 3549.8
25000 random hybrid 3295.2
25100 random merge 3574.6
25100 random hybrid 3324
25200 random merge 3975.2
25200 random hybrid 3293.4
25300 random merge 3659.6
25300 random hybrid 3340
25400 random merge 3516.2
25400 random hybrid 3316.4
25500 random merge 3610.8
25500 random hybrid 3351.2
25600 random merge 3627.6
25600 random hybrid 3365
25700 random merge 3656.6
25700 random hybrid 3342.4
25800 random merge 3663.2
25800 random hybrid 3332.6
25900 random merge 3680
25900 random hybrid 3303.8
26000 random merge 3693.8
26000 random hybrid 3279.6
26100 random merge 3713.6
26100 random hybrid 3248.6
26200 random merge 3735
26200 random hybrid 3264.4
26300 random merge 3744.4
26300 random hybrid 3272.4
26400 random merge 3756.2
26400 random hybrid 3285.2
26500 random merge 3772.2
26500 random hybrid 3304
26600 random merge 3776
26600 random hybrid 3325.2
26700 random merge 3801
26700 random hybrid 3322.8
26800 random merge 3811.6
26800 random hybrid 3350.2
26900 random merge 3828.6
26900 random hybrid 3364.6
27000 random merge 3844.6
27000 random hybrid 3374.4
27100 random merge 3857.6
27100 random hybrid 3388.2
27200 random merge 3868
27200 random hybrid 3396.2
27300 random merge 3901.4
27300 random hybrid 3412.2
27400 random merge 3903
27400 random hybrid 3422.6
27500 random merge 3920.8
27500 random hybrid 3438.8
27600 random merge 3931.4
27600 random hybrid 3458.4
27700 random merge 3946.6
27700 random hybrid 3470.8
27800 random merge 4010.8
27800 random hybrid 3527.2
27900 random merge 4003.8
27900 random hybrid 3506.4
28000 random merge 4062.8
28000 random hybrid 3553
28100 random merge 3951
28100 random hybrid 3521
28200 random merge 4061.6
28200 random hybrid 3528.4
28300 random merge 4293.8
28300 random hybrid 3554.2
28400 random merge 4046.4
28400 random hybrid 3524.6
28500 random merge 4013.4
28500 random hybrid 3577
28600 random merge 4077.8
28600 random hybrid 3601.8
28700 random merge 4090.8
28700 random hybrid 3618.8
28800 random merge 4113.6
28800 random hybrid 3638
28900 random merge 4132.2
28900 random hybrid 3643.2
29000 random merge 4149
29000 random hybrid 3650.4
29100 random merge 4204.6
29100 random hybrid 3680.2
29200 random merge 4237.4
29200 random hybrid 3815.2
29300 random merge 4363.6
29300 random hybrid 3684.8
29400 random merge 4226.2
29400 random hybrid 3780.8
29500 random merge 4197
29500 random hybrid 3738.6
29600 random merge 4143.6
29600 random hybrid 3757.2
29700 random merge 4270.4
29700 random hybrid 3768.6
29800 random merge 4290.2
29800 random hybrid 3774.6
29900 random merge 4301.8
29900 random hybrid 3787.6
30000 random merge 4317.2
30000 random hybrid 3806.4
30100 random merge 4327
30100 random hybrid 3944.6
30200 random merge 4253
30200 random hybrid 3848.6
30300 random merge 4363
30300 random hybrid 3875.6
30400 random merge 4395.2
30400 random hybrid 3884.4
30500 random merge 4403
30500 random hybrid 3901
30600 random merge 4412.6
30600 random hybrid 4085.6
30700 random merge 4523.6
30700 random hybrid 4044.8
